Frame, Timestamp, HMD_x, HMD_y, HMD_z, HMD_rot_x, HMD_rot_y, HMD_rot_z, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z, WristAngleLeft, WristAngleRight, Distance
37, 0.5558, 4.5077, 1.2779, 9.6564, 326.5380, 212.6998, 1.1565, 0.2997, 0.8092, -0.0675, 21.7764, 93.0123, 340.1351, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0479, 0.0497, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000, 167.5270, 0.0000
38, 0.5694, 4.5077, 1.2779, 9.6568, 326.4457, 213.0686, 1.1171, 0.2991, 0.8098, -0.0676, 22.3129, 93.0824, 339.8893, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0444, 0.0464, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000, 166.8321, 0.0000
39, 0.5871, 4.5076, 1.2779, 9.6572, 326.3548, 213.4774, 1.0263, 0.2986, 0.8098, -0.0680, 23.0957, 93.4058, 339.9460, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0249, -0.0006, -0.0218, 0.0000, 0.0000, 0.0000, 0.0000, 165.8387, 0.0000
40, 0.5967, 4.5075, 1.2779, 9.6577, 326.2509, 213.8943, 0.9442, 0.2982, 0.8099, -0.0683, 23.6715, 93.6024, 339.9388, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0436, 0.0052, -0.0341, 0.0000, 0.0000, 0.0000, 0.0000, 165.1151, 0.0000
41, 0.6098, 4.5072, 1.2779, 9.6582, 326.2011, 214.2724, 0.8639, 0.2978, 0.8100, -0.0686, 24.1211, 93.7238, 339.8951, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0318, 0.0071, -0.0228, 0.0000, 0.0000, 0.0000, 0.0000, 164.5458, 0.0000
42, 0.6249, 4.5068, 1.2779, 9.6591, 326.1346, 214.7349, 0.8117, 0.2974, 0.8101, -0.0688, 24.4616, 93.7992, 339.8426, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0243, 0.0063, -0.0169, 0.0000, 0.0000, 0.0000, 0.0000, 164.1105, 0.0000
43, 0.6386, 4.5063, 1.2778, 9.6602, 326.0128, 215.2696, 0.7146, 0.2968, 0.8101, -0.0695, 24.5646, 94.0818, 340.0898, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0467, 0.0058, -0.0506, 0.0000, 0.0000, 0.0000, 0.0000, 163.9183, 0.0000
44, 0.6526, 4.5059, 1.2778, 9.6613, 325.8735, 215.8803, 0.5560, 0.2961, 0.8103, -0.0702, 24.7242, 94.2716, 340.2191, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0496, 0.0088, -0.0510, 0.0000, 0.0000, 0.0000, 0.0000, 163.6661, 0.0000
45, 0.6671, 4.5055, 1.2779, 9.6622, 325.6726, 216.5330, 0.2597, 0.2951, 0.8105, -0.0708, 24.7851, 94.5311, 340.2362, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0660, 0.0185, -0.0354, 0.0000, 0.0000, 0.0000, 0.0000, 163.5048, 0.0000
46, 0.6806, 4.5051, 1.2781, 9.6630, 325.4710, 217.0706, 359.9680, 0.2942, 0.8108, -0.0713, 24.9055, 94.7283, 340.2350, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0716, 0.0220, -0.0378, 0.0000, 0.0000, 0.0000, 0.0000, 163.2972, 0.0000
47, 0.6943, 4.5050, 1.2781, 9.6638, 325.2357, 217.6146, 359.5678, 0.2937, 0.8111, -0.0719, 24.4569, 94.7997, 340.2373, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0322, 0.0187, -0.0434, 0.0000, 0.0000, 0.0000, 0.0000, 163.7959, 0.0000
48, 0.7074, 4.5047, 1.2783, 9.6647, 325.1194, 218.0137, 359.2280, 0.2933, 0.8113, -0.0724, 24.1894, 94.8656, 340.2318, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0338, 0.0201, -0.0423, 0.0000, 0.0000, 0.0000, 0.0000, 164.0741, 0.0000
49, 0.7217, 4.5045, 1.2784, 9.6654, 324.9818, 218.4203, 358.9547, 0.2928, 0.8116, -0.0729, 23.9990, 94.9355, 340.2209, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0309, 0.0187, -0.0365, 0.0000, 0.0000, 0.0000, 0.0000, 164.2668, 0.0000
50, 0.7364, 4.5041, 1.2785, 9.6661, 324.9456, 218.6670, 358.7190, 0.2924, 0.8119, -0.0734, 23.8547, 94.9992, 340.2095, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0270, 0.0164, -0.0311, 0.0000, 0.0000, 0.0000, 0.0000, 164.4073, 0.0000
51, 0.7485, 4.5041, 1.2784, 9.6664, 324.9281, 218.8696, 358.6284, 0.2924, 0.8124, -0.0738, 23.2639, 94.8819, 340.0118, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0003, 0.0459, -0.0317, 0.0000, 0.0000, 0.0000, 0.0000, 165.0819, 0.0000
52, 0.7629, 4.5041, 1.2783, 9.6666, 324.9648, 218.9373, 358.5885, 0.2924, 0.8130, -0.0742, 22.7428, 94.7985, 339.8248, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0025, 0.0377, -0.0266, 0.0000, 0.0000, 0.0000, 0.0000, 165.6751, 0.0000
53, 0.7766, 4.5041, 1.2782, 9.6668, 325.0865, 218.8881, 358.5963, 0.2923, 0.8135, -0.0746, 22.3326, 94.7517, 339.6646, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0051, 0.0399, -0.0287, 0.0000, 0.0000, 0.0000, 0.0000, 166.1285, 0.0000
54, 0.7913, 4.5040, 1.2781, 9.6668, 325.2119, 218.7973, 358.6144, 0.2923, 0.8140, -0.0749, 22.0302, 94.7307, 339.5368, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0053, 0.0342, -0.0247, 0.0000, 0.0000, 0.0000, 0.0000, 166.4577, 0.0000
55, 0.8054, 4.5040, 1.2781, 9.6667, 325.3950, 218.5806, 358.6646, 0.2921, 0.8143, -0.0749, 22.0205, 94.8394, 339.8053, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0129, 0.0226, -0.0013, 0.0000, 0.0000, 0.0000, 0.0000, 166.4180, 0.0000
56, 0.8188, 4.5038, 1.2781, 9.6672, 325.5737, 218.3556, 358.7088, 0.2919, 0.8146, -0.0750, 21.9954, 94.9190, 339.9716, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0133, 0.0225, -0.0026, 0.0000, 0.0000, 0.0000, 0.0000, 166.4083, 0.0000
57, 0.8322, 4.5041, 1.2778, 9.6668, 325.7911, 217.9814, 358.8372, 0.2919, 0.8151, -0.0752, 21.6558, 94.9219, 339.8509, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0007, 0.0337, -0.0186, 0.0000, 0.0000, 0.0000, 0.0000, 166.7621, 0.0000
58, 0.8470, 4.5044, 1.2775, 9.6662, 326.0448, 217.6026, 358.9366, 0.2919, 0.8156, -0.0755, 21.3652, 94.9360, 339.7470, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0020, 0.0324, -0.0183, 0.0000, 0.0000, 0.0000, 0.0000, 167.0703, 0.0000
59, 0.8599, 4.5050, 1.2768, 9.6647, 326.3726, 217.1169, 359.0851, 0.2918, 0.8156, -0.0756, 21.6215, 95.0051, 339.9152, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0086, 0.0073, -0.0118, 0.0000, 0.0000, 0.0000, 0.0000, 166.7566, 0.0000
