Frame, Timestamp, HMD_x, HMD_y, HMD_z, HMD_rot_x, HMD_rot_y, HMD_rot_z, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z, Distance
42, 0.6188, 4.4537, 1.2160, 9.5961, 354.5067, 198.7194, 3.5457, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
43, 0.6323, 4.4538, 1.2160, 9.5961, 354.4973, 198.6877, 3.5015, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
44, 0.6468, 4.4539, 1.2160, 9.5960, 354.4984, 198.5719, 3.4768, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
45, 0.6604, 4.4541, 1.2159, 9.5959, 354.5135, 198.4687, 3.4691, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
46, 0.6749, 4.4543, 1.2158, 9.5959, 354.5133, 198.3420, 3.4638, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
47, 0.6878, 4.4545, 1.2156, 9.5959, 354.5250, 198.2285, 3.4518, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
48, 0.7023, 4.4547, 1.2155, 9.5958, 354.5631, 198.1709, 3.4604, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
49, 0.7159, 4.4549, 1.2152, 9.5957, 354.6528, 198.1017, 3.5136, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
50, 0.7301, 4.4551, 1.2148, 9.5957, 354.7666, 198.0220, 3.5987, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
51, 0.7520, 4.4553, 1.2141, 9.5957, 354.9440, 197.9330, 3.7607, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
52, 0.7645, 4.4555, 1.2138, 9.5958, 355.0260, 197.8356, 3.8506, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
53, 0.7770, 4.4558, 1.2139, 9.5959, 354.9694, 197.7430, 3.8589, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
54, 0.7872, 4.4560, 1.2142, 9.5960, 354.8304, 197.6623, 3.7741, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
55, 0.8010, 4.4562, 1.2138, 9.5960, 354.5962, 197.6092, 3.7154, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
56, 0.8148, 4.4565, 1.2142, 9.5962, 354.0998, 197.5164, 3.7258, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
57, 0.8278, 4.4571, 1.2166, 9.5976, 352.9514, 197.4053, 3.8097, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
58, 0.8419, 4.4579, 1.2191, 9.5994, 351.5093, 197.2079, 3.9349, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
59, 0.8559, 4.4586, 1.2211, 9.6010, 349.6837, 196.9776, 4.0029, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
60, 0.8698, 4.4594, 1.2233, 9.6020, 348.3121, 196.8003, 4.0663, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
61, 0.8835, 4.4600, 1.2250, 9.6036, 347.2740, 196.5907, 3.9298, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
62, 0.8975, 4.4606, 1.2265, 9.6053, 346.3024, 196.4825, 3.7624, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
